;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
5879;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1327;16;0;0;1;18;0;0;0;0;0;0;8;1;0;34,0;23;0;0;0;0;1,0;77,74;13;43;4;30;18;14;11;0;2;4;0;2,2;3,85;2,2;0,0;0,0;0,0;1,1;2;4;5;2;1,3;6;6;3,0;5,4;0;1,1;3,25;181 days 23:59:59.000000000
621;Biologia;2012.2;4;Zoologia Geral;27;2012-06-30 21:00:00;2012-12-31 20:59:59;74;7;1;0;1;31;0;0;0;0;0;0;22;0;0;5,0;14;0;2;0;0;1,0;221,86;17;46;12;23;5;16;24;1;1;1;0;4,95;0,0;4,95;4,95;0,0;4,95;4,95;2;0;0;0;0,35;0;0;0,0;5,3;0;4,95;0,5;183 days 23:59:59.000000000
614;Biologia;2012.2;4;Zoologia Geral;27;2012-06-30 21:00:00;2012-12-31 20:59:59;42;4;0;0;0;33;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0,0;2;9;2;6;3;5;1;0;0;0;0;0,0;4,95;4,95;4,95;0,0;4,95;4,95;0;0;0;0;0,0;0;0;0,0;4,95;0;4,95;0,0;183 days 23:59:59.000000000
2550;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;344;2;2;3;8;13;0;0;0;0;0;0;21;3;0;5,0;34;0;1;0;0;3,0;81,78;10;79;4;50;2;40;36;1;1;3;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;5;5;0;0;1,0;6;0;1,5;4,7;0;2,2;2,5;180 days 00:00:00.000000000
2470;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;100;3;0;0;0;8;0;0;0;0;0;0;19;3;0;38,0;11;0;1;0;0;2,0;77,49;7;67;10;40;17;13;36;1;1;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;2;5;0;0;0,7;5;0;1,25;4,7;0;2,75;1,75;180 days 00:00:00.000000000
2561;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;247;21;0;3;6;16;0;0;0;1;1;0;15;2;0;0,0;20;0;1;0;0;2,0;76,57;27;77;4;46;13;30;34;0;1;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;4;0;0;0,9;5;0;1,25;4,625;0;2,475;2,25;180 days 00:00:00.000000000
2589;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;109;7;0;0;0;9;0;0;0;1;0;0;22;3;0;0,0;15;0;1;0;0;2,0;70,81;38;59;9;43;5;28;26;0;1;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;3;3;0;0;0,6;5;0;1,25;4,6;0;2,75;1,5;180 days 00:00:00.000000000
2558;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;167;34;0;3;5;21;0;0;0;2;2;0;23;3;0;0,0;8;0;2;0;0;2,0;75,02;8;56;6;39;7;17;32;0;1;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;2;0;0;0;0,2;5;0;1,25;4,2;0;2,75;0,5;180 days 00:00:00.000000000
2563;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;137;24;0;0;0;8;0;0;0;0;0;0;21;3;0;1,0;16;0;2;0;0;2,0;78,62;10;60;16;51;10;31;19;0;1;4;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;2;4;0;0;0,6;5;0;1,25;4,05;0;2,2;1,5;180 days 00:00:00.000000000
2479;Biologia;2014.1;4;Zoologia Geral;48;2013-12-31 21:00:00;2014-06-29 21:00:00;102;6;0;2;2;21;0;0;0;1;0;0;9;1;0;0,0;8;0;1;0;0;1,0;71,53;12;31;10;20;6;5;20;0;1;3;1;4,4;0,0;4,4;0,0;0,0;0,0;2,2;2;4;0;0;0,6;5;0;1,25;4,05;0;2,2;1,5;180 days 00:00:00.000000000
