;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
3411;Pedagogia;2012.1;4;Planejamento Educacional;52;2011-12-31 21:00:00;2012-06-30 20:59:59;197;22;0;0;18;43;0;0;2;0;3;0;22;3;1;1,0;30;1;0;0;0;2,0;80,88;28;77;0;52;22;20;34;1;1;6;0;4,4;4,4;4,4;2,2;0,0;2,2;1,82;4;4;5;5;0,9;6;5;1,375;4,09;0;3,3000000000000003;4,5;181 days 23:59:59.000000000
3412;Pedagogia;2012.1;4;Planejamento Educacional;52;2011-12-31 21:00:00;2012-06-30 20:59:59;117;18;0;0;0;27;0;0;0;0;0;0;7;1;1;7,0;13;0;0;0;0;1,0;95,72;4;28;0;19;8;10;9;1;1;5;0;3,3;0,0;3,3;4,3;0,0;4,3;2,09;3;5;4;5;0,85;5;4;1,125;4,07;0;3,8;4,25;181 days 23:59:59.000000000
8046;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;344;26;0;0;0;2;0;0;0;2;0;0;23;3;0;0,0;13;0;1;0;1;1,0;90,4;18;37;7;20;2;11;19;5;1;4;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;0;0;0,0;3,975;1;2,475;3,75;180 days 23:59:59.000000000
13268;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;960;14;0;0;11;16;0;0;0;0;0;0;20;3;0;0,0;8;0;0;0;1;2,0;129,58;26;65;10;40;13;19;30;3;1;1;0;0,0;1,1;0,0;4,95;0,0;4,95;2,475;0;0;0;5;0,5;0;4;1,0;3,975;1;2,475;1,25;181 days 23:59:59.000000000
13304;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1851;17;0;0;0;1;0;0;0;0;0;0;17;2;0;0,5;7;0;0;4;2;1,0;48,37;15;33;4;17;15;4;14;0;2;2;0;0,0;4,95;0,0;2,2;0,0;2,2;1,1;5;5;0;0;1,0;2;5;1,75;3,85;1;1,1;2,5;181 days 23:59:59.000000000
8203;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;156;18;0;0;0;3;0;0;0;4;0;0;12;2;0;43,0;32;0;1;0;1;1,0;69,02;18;51;15;26;9;13;29;0;1;6;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;0;0;1,0;0;0;0,0;3,75;1;2,75;2,5;180 days 23:59:59.000000000
8152;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;516;8;0;0;3;9;0;0;0;0;1;0;14;2;0;20,0;8;0;1;0;1;2,0;79,55;45;56;6;35;10;8;37;1;1;2;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;5;0;0;1,0;0;0;0,0;3,75;1;2,75;2,5;180 days 23:59:59.000000000
8178;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;140;26;0;0;1;12;0;0;1;2;0;0;9;1;0;1,0;21;0;2;0;1;3,0;80,99;46;90;22;62;25;50;15;0;1;3;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;5;5;5;0;1,5;0;0;0,0;3,7;1;2,2;3,75;180 days 23:59:59.000000000
3357;Pedagogia;2012.1;4;Planejamento Educacional;52;2011-12-31 21:00:00;2012-06-30 20:59:59;121;13;0;0;1;31;0;0;0;0;0;0;18;3;1;7,0;14;0;0;0;0;1,0;101,36;11;44;0;23;5;15;20;4;1;3;0;3,3;0,0;3,3;3,85;0,0;3,85;1,97;4;0;5;4;0,65;3;5;1,0;3,62;1;3,575;3,25;181 days 23:59:59.000000000
8320;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;272;13;0;0;0;0;0;0;2;0;0;0;19;3;0;0,0;5;0;1;0;1;1,0;78,38;10;34;5;23;7;12;14;1;1;2;0;3,3;0,0;3,3;0,0;0,0;0,0;1,65;5;4;0;0;0,9;4;0;1,0;3,55;1;1,65;2,25;180 days 23:59:59.000000000
8134;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;41;9;0;0;1;3;0;0;0;4;0;0;9;1;0;3,0;12;0;2;0;1;0,0;65,84;9;20;8;16;7;7;6;0;1;5;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;0;0;1,0;0;0;0,0;3,475;1;2,475;2,5;180 days 23:59:59.000000000
