;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
5424;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;346;9;0;0;2;24;0;0;2;7;0;0;12;2;0;24,0;38;8;2;0;0;0;3,0;80,1;84;24,0;24,0;90;32;52;15;20;51;4;2;8;0;4,4;0,0;4,4;3,85;0,0;3,85;4,125;5;4;4;5;1,8;0;4;1,0;6,925;0;4,125;4,5;181 days 23:59:59.000000000
5469;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;214;10;0;8;57;82;1;1;0;3;0;0;13;2;0;26,0;11;4;0;0;0;0;2,0;71,05;36;26,0;26,0;75;16;47;18;16;34;7;2;4;0;2,75;0,0;2,75;4,4;0,0;4,4;3,575;2;3;2;0;0,7;5;5;2,5;6,775;0;3,575;1,75;181 days 23:59:59.000000000
5584;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;341;5;0;3;30;55;0;0;0;1;1;0;0;2;0;40,0;15;1;0;0;0;0;11,0;99,72;160;40,0;40,0;303;14;103;49;116;91;47;2;1;0;3,85;0,0;3,85;3,3;0,0;3,3;3,575;0;0;2;0;0,2;0;0;0,0;3,775;1;3,575;0,5;181 days 23:59:59.000000000
5758;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;217;5;0;2;42;92;0;0;0;4;1;0;0;0;0;0,0;12;4;0;0;0;0;2,0;80,72;51;0,0;0,0;73;8;51;6;37;30;0;0;4;0;4,4;0,0;4,4;4,4;0,0;4,4;4,4;3;2;2;4;1,1;0;0;0,0;5,5;0;4,4;2,75;181 days 23:59:59.000000000
5950;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;334;21;0;0;7;59;0;0;0;2;0;0;15;2;0;47,0;16;2;0;0;0;0;3,0;85,62;20;47,0;47,0;83;26;48;10;37;33;3;2;2;0;3,3;0,0;3,3;4,95;0,0;4,95;4,125;0;4;0;3;0,7;0;0;0,0;4,825;0;4,125;1,75;181 days 23:59:59.000000000
6021;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;275;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;9;0,0;0,0;14;2;9;1;9;4;0;0;0;0;4,4;0,0;4,4;4,95;0,0;4,95;4,675;0;0;0;0;0,0;0;0;0,0;4,675;0;4,675000000000001;0,0;181 days 23:59:59.000000000
7108;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
7276;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;290;9;0;2;2;0;0;0;0;4;0;0;12;2;0;1,5;11;4;0;0;0;0;1,0;85,54;5;1,5;1,5;43;11;26;14;15;14;0;2;4;0;4,4;0,0;4,4;4,95;0,0;4,95;4,675;2;3;2;3;1,0;4;3;1,75;7,425;0;4,675000000000001;2,5;181 days 23:59:59.000000000
7538;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;321;16;0;3;23;42;0;0;0;4;1;0;12;2;0;44,5;47;5;0;0;0;0;9,0;83,54;15;44,5;44,5;246;49;91;42;74;121;9;2;5;0;2,75;0,0;2,75;3,85;0,0;3,85;3,3;5;3;3;3;1,4;0;4;1,0;5,7;0;3,3;3,5;181 days 23:59:59.000000000
7730;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;285;84;0;0;14;63;0;0;0;7;0;0;20;3;0;39,5;29;7;0;0;0;0;3,0;80,07;59;39,5;39,5;100;23;73;7;18;70;5;2;7;0;3,3;1,1;3,3;0,0;0,0;0,0;1,65;5;4;4;3;1,6;0;0;0,0;3,25;1;1,65;4,0;181 days 23:59:59.000000000
8129;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;363;5;0;1;17;49;0;0;0;5;0;0;10;1;0;42,5;45;5;0;0;0;0;9,0;73,52;241;42,5;42,5;251;67;116;99;70;81;1;2;5;0;4,4;0,0;4,4;4,95;0,0;4,95;4,675;4;5;5;5;1,9;5;5;2,5;9,075;0;4,675000000000001;4,75;181 days 23:59:59.000000000
8577;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;374;41;0;0;37;49;0;0;0;5;0;0;16;2;0;36,5;18;5;0;0;0;0;3,0;80,11;10;36,5;36,5;97;16;72;16;51;30;0;2;5;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;4;5;3;2;1,4;5;4;2,25;8,875;0;5,225;3,5;181 days 23:59:59.000000000
8746;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;356;8;0;2;7;23;0;0;0;5;0;0;20;3;0;10,0;26;5;0;0;0;0;3,0;79,55;10;10,0;10,0;89;37;57;19;16;54;0;2;5;0;1,1;0,0;1,1;2,75;0,0;2,75;1,925;3;3;2;4;1,2;2;2;1,0;4,125;0;1,925;3,0;181 days 23:59:59.000000000
9029;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;213;4;0;0;1;25;0;0;0;0;0;0;8;1;0;37,0;3;0;0;0;0;0;2,0;0,0;10;37,0;37,0;59;13;38;13;20;26;0;2;0;0;4,4;0,0;4,4;4,95;0,0;4,95;4,675;0;0;0;0;0,0;0;2;0,5;5,175;0;4,675000000000001;0,0;181 days 23:59:59.000000000
9067;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;263;6;0;0;36;41;0;1;1;4;0;0;10;1;0;45,0;25;5;0;0;0;0;3,0;79,3;71;45,0;45,0;89;31;53;5;33;46;5;2;5;0;4,4;0,0;4,4;4,95;0,0;4,95;4,675;3;4;2;3;1,2;6;6;3,0;8,875;0;4,675000000000001;3,0;181 days 23:59:59.000000000
9336;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;274;3;0;0;0;61;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;3;0,0;0,0;5;3;3;2;2;1;0;0;0;0;2,2;0,0;2,2;2,75;0,0;2,75;2,475;0;0;0;0;0,0;0;0;0,0;2,475;1;2,475;0,0;181 days 23:59:59.000000000
9384;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;354;8;0;4;32;48;0;0;1;7;0;0;8;1;0;45,5;38;7;1;0;0;0;4,0;66,07;4;45,5;45,5;111;35;63;21;41;47;2;2;7;0;5,5;0,0;5,5;4,95;0,0;4,95;5,225;4;4;3;4;1,5;4;3;1,75;8,475;0;5,225;3,75;181 days 23:59:59.000000000
10734;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;242;9;0;0;1;27;0;0;0;2;0;0;12;2;0;1,0;18;2;0;0;0;0;1,0;98,9;6;1,0;1,0;31;16;18;9;15;7;0;1;2;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;3;0;3;0,6;0;6;1,5;7,6;0;5,5;1,5;181 days 23:59:59.000000000
10842;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;234;17;0;0;12;77;0;0;0;4;0;0;8;1;0;22,0;31;5;0;0;25;0;4,0;73,32;88;22,0;22,0;111;16;58;42;41;27;1;2;5;0;2,75;0,0;2,75;2,75;0,0;2,75;2,75;3;4;3;4;1,4;6;6;3,0;7,15;0;2,75;3,5;181 days 23:59:59.000000000
10900;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;261;82;0;5;41;47;1;1;0;6;1;0;1;3;0;23,0;72;7;0;0;0;0;8,0;70,82;212;23,0;23,0;226;46;104;40;67;97;22;2;7;0;4,4;0,0;4,4;4,95;0,0;4,95;4,675;4;5;4;4;1,7;6;4;2,5;8,875;0;4,675000000000001;4,25;181 days 23:59:59.000000000
11063;Biologia;2016.1;8;Sociologia da Educação;46;2015-12-31 21:00:00;2016-06-30 20:59:59;258;7;0;0;3;37;0;0;0;4;0;0;8;1;0;35,5;11;4;0;0;0;0;3,0;81,48;60;35,5;35,5;91;17;49;21;46;24;0;2;4;0;4,4;0,0;4,4;4,95;0,0;4,95;4,675;3;3;2;3;1,1;0;3;0,75;6,525;0;4,675000000000001;2,75;181 days 23:59:59.000000000
