;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
345;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;191;29;0;0;0;155;0;0;0;0;0;0;14;2;0;0,0;4;0;0;0;0;0;2,0;0,0;40;0,0;0,0;62;0;50;24;22;16;0;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;2;0,5;0,5;1;0,0;0,0;182 days 00:00:00.000000000
721;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;233;24;0;0;17;230;0;0;1;4;3;0;17;2;0;0,5;36;5;0;0;0;0;6,0;57,35;146;0,5;0,5;162;0;105;41;80;38;3;2;5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;2;0;3;0,7;3;3;1,5;2,2;1;0,0;1,75;182 days 00:00:00.000000000
1021;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;234;2;0;0;0;22;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;6;0;6;0;1;5;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;182 days 00:00:00.000000000
2379;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;143;55;0;0;121;290;0;0;0;3;7;0;17;2;0;7,5;27;4;0;0;0;0;12,0;76,98;97;7,5;7,5;331;0;138;105;140;86;0;2;4;0;3,85;0,0;3,85;4,15;0,0;4,15;4,0;4;3;4;4;1,5;4;5;2,25;7,75;0;4,0;3,75;182 days 00:00:00.000000000
3066;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;146;7;0;0;12;229;0;0;0;3;1;0;16;2;0;0,0;11;3;0;0;0;0;5,0;71,42;50;0,0;0,0;135;0;78;30;51;52;2;2;3;0;3,3;0,0;3,3;4,15;0,0;4,15;3,725;3;2;0;2;0,7;4;4;2,0;6,425;0;3,725;1,75;182 days 00:00:00.000000000
3085;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;21;30;0;0;12;171;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;1,0;0,0;28;0,0;0,0;43;0;36;12;14;17;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;182 days 00:00:00.000000000
3348;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;115;7;0;0;133;359;0;0;0;5;9;0;17;2;0;7,5;137;7;0;0;0;0;17,0;68,36;48;7,5;7,5;467;0;163;180;204;82;1;2;7;0;3,3;0,0;3,3;5,5;0,0;5,5;4,4;4;4;3;5;1,6;4;5;2,25;8,25;0;4,4;4,0;182 days 00:00:00.000000000
3828;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;81;27;0;0;1;161;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;1,0;0,0;29;0,0;0,0;31;0;26;4;7;14;6;0;0;0;1,1;0,0;1,1;1,1;0,0;1,1;1,1;0;0;0;0;0,0;0;0;0,0;1,1;1;1,1;0,0;182 days 00:00:00.000000000
4040;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;240;4;0;0;18;244;0;0;0;4;5;0;8;1;0;1,0;57;5;0;0;0;0;17,0;64,63;404;1,0;1,0;448;0;168;156;164;127;1;2;5;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;3;5;4;1,7;5;5;2,5;9,425;0;5,225;4,25;182 days 00:00:00.000000000
4504;Letras;2010.2;3;Linguística I;36;2010-06-30 21:00:00;2010-12-29 21:00:00;106;5;0;0;31;236;0;0;0;1;2;0;23;3;0;0,0;51;4;0;0;0;0;5,0;77,27;32;0,0;0,0;143;0;83;55;29;59;0;1;4;0;2,2;0,0;2,2;3,6;0,0;3,6;2,9;3;4;3;3;1,3;0;5;1,25;5,45;0;2,9000000000000004;3,25;182 days 00:00:00.000000000
