;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
1349;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;101;23;0;0;1;89;0;0;0;1;1;0;20;3;0;0,0;7;2;0;0;0;0;1,0;105,29;3;0,0;0,0;51;0;38;14;13;24;0;1;2;0;1,0;0,0;1,0;1,1;0,0;1,1;1,05;0;2;0;0;0,2;1;0;0,25;1,5;1;1,05;0,5;181 days 00:00:00.000000000
1863;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;201;54;6;0;75;152;1;1;0;5;5;0;10;1;0;13,0;35;7;0;0;0;0;6,0;124,44;28;13,0;13,0;170;0;95;55;71;40;4;2;7;0;2,0;0,0;2,0;2,75;0,0;2,75;2,375;4;2;3;3;1,2;2;5;1,75;5,325;0;2,375;3,0;181 days 00:00:00.000000000
2395;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;216;9;0;0;7;100;0;0;0;0;2;0;19;3;0;0,5;3;1;0;0;0;0;1,0;94,47;21;0,5;0,5;47;0;34;9;5;33;0;2;1;0;0,0;0,0;0,0;1,65;0,0;1,65;0,825;2;0;0;0;0,2;2;4;1,5;2,525;1;0,825;0,5;181 days 00:00:00.000000000
3149;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;99;3;0;0;8;96;0;0;2;0;2;0;0;0;0;0,0;5;2;0;0;0;0;1,0;129,46;16;0,0;0,0;46;0;27;11;19;15;1;0;2;0;0,0;0,0;0,0;0,55;0,0;0,55;0,275;0;2;0;0;0,2;0;0;0,0;0,475;1;0,275;0,5;181 days 00:00:00.000000000
3259;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;190;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;1;0;1;1;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 00:00:00.000000000
4826;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;114;3;2;0;128;158;0;0;0;2;2;0;16;2;0;2,0;30;6;0;0;0;0;6,0;133,69;157;2,0;2,0;168;0;83;57;26;82;3;1;6;0;3,0;0,0;3,0;0,0;3,3;3,3;3,15;2;2;2;2;0,8;3;0;0,75;4,7;0;3,15;2,0;181 days 00:00:00.000000000
5068;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;193;4;4;0;34;109;0;0;0;0;1;0;4;3;0;0,0;23;4;0;0;0;0;5,0;142,44;94;0,0;0,0;133;0;82;28;54;49;2;2;4;0;4,5;0,0;4,5;3,85;0,0;3,85;4,175;2;1;2;1;0,6;6;6;3,0;7,775;0;4,175;1,5;181 days 00:00:00.000000000
5252;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;170;1;0;0;7;100;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;1;0,0;0,0;9;0;9;0;1;8;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 00:00:00.000000000
5338;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;108;4;1;0;28;130;0;0;0;2;2;0;19;3;0;2,0;46;6;0;0;0;0;6,0;132,47;60;2,0;2,0;165;0;79;5;122;37;1;2;6;0;1,0;0,0;1,0;2,2;0,0;2,2;1,6;4;3;2;3;1,2;5;6;2,75;5,55;0;1,6;3,0;181 days 00:00:00.000000000
5611;Letras;2012.1;6;Literatura Brasileira III;76;2011-12-31 21:00:00;2012-06-29 21:00:00;66;15;0;0;37;140;0;0;1;2;4;0;19;3;0;0,5;22;3;1;0;0;0;4,0;120,84;33;0,5;0,5;124;0;88;18;24;82;0;2;3;0;1,5;0,0;1,5;3,3;0,0;3,3;2,4;4;0;0;2;0,6;2;4;1,5;4,5;0;2,4;1,5;181 days 00:00:00.000000000
