;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
49;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;1476;9;0;0;29;52;0;0;2;5;1;3;11;1;0;3,44;22;7;0;2;16;0;3,6923;53,84;35;3,44;3,44;96;17;36;23;41;32;0;2;7;0;2,85;0,0;2,85;4,95;0,0;4,95;3,9;5;5;5;5;2,0;6;5;2,75;8,65;0;3,9000000000000004;5,0;183 days 23:59:59.000000000
162;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;487;4;0;0;5;38;0;0;0;3;0;1;17;2;0;1,19;12;3;0;5;0;0;1,6538;69,36;30;1,19;1,19;43;8;16;7;19;17;0;2;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;5;4;0;1,4;6;5;2,75;4,15;0;0,0;3,5;183 days 23:59:59.000000000
430;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;1539;38;12;7;131;122;0;0;1;4;12;9;14;2;0;35,26;21;4;0;1;0;0;7,0;53,15;135;35,26;35,26;182;33;63;26;87;56;13;2;4;0;4,25;0,0;4,25;4,95;0,0;4,95;4,6;5;5;5;5;2,0;5;6;2,75;9,35;0;4,6;5,0;183 days 23:59:59.000000000
498;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;1411;15;0;0;7;58;0;0;0;3;5;1;20;3;0;0,61;12;4;0;2;0;0;1,6923;66,98;34;0,61;0,61;44;13;21;8;11;25;0;2;4;0;5,0;0,0;5,0;5,5;0,0;5,5;5,25;5;5;0;5;1,5;4;6;2,5;9,25;0;5,25;3,75;183 days 23:59:59.000000000
582;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;453;7;0;1;67;122;0;0;0;4;1;3;0;0;0;0,0;7;4;0;0;0;0;4,9231;61,15;62;0,0;0,0;128;11;56;19;44;64;1;0;4;0;5,5;0,0;5,5;4,95;0,0;4,95;5,225;5;5;5;5;2,0;0;0;0,0;7,225;0;5,225;5,0;183 days 23:59:59.000000000
1128;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;1453;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;3,077e-05;0,0;5;0,0;0,0;8;1;4;0;5;3;0;0;0;0;4,5;0,0;4,5;0,0;0,0;0,0;2,25;0;0;0;0;0,0;0;0;0,0;2,25;1;2,25;0,0;183 days 23:59:59.000000000
1626;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;1465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
1943;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;385;3;0;1;13;54;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1,154e-05;0,0;0;0,0;0,0;3;0;3;0;1;2;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
1946;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;1437;5;0;0;2;29;0;0;0;2;1;6;12;2;0;26,73;10;2;0;1;9;0;9,231e-05;20,74;15;26,73;26,73;24;10;13;3;5;15;1;2;2;0;4,0;0,0;4,0;0,0;0,0;0,0;2,0;0;0;4;5;0,9;5;6;2,75;5,65;0;2,0;2,25;183 days 23:59:59.000000000
2195;Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;2014-06-30 21:00:00;2014-12-31 20:59:59;505;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;2,692e-05;0,0;0;0,0;0,0;7;2;4;0;6;1;0;0;0;0;4,5;0,0;4,5;5,5;0,0;5,5;5,0;0;0;0;0;0,0;0;0;0,0;5,0;0;5,0;0,0;183 days 23:59:59.000000000
