;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
45;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;235;4;0;2;2;11;0;0;0;0;0;0;0;0;0;0,0;16;2;0;0;0;0;1,0;74,83;11;0,0;0,0;29;7;19;6;12;11;0;0;2;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;4;2;0;0;0,6;0;0;0,0;1,975;1;1,375;1,5;180 days 00:00:00.000000000
724;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;223;15;0;1;1;9;0;0;0;0;0;0;22;3;0;4,0;29;3;0;2;0;0;1,0;75,24;31;4,0;4,0;50;4;37;3;7;40;0;1;3;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;5;3;0;0;0,8;5;0;1,25;3,425;1;1,375;2,0;180 days 00:00:00.000000000
782;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;102;6;0;2;2;21;0;0;0;0;0;0;0;0;0;0,0;5;2;0;0;0;0;1,0;55,52;12;0,0;0,0;31;4;20;6;5;20;0;0;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;0;0;0;0,4;0;0;0,0;0,4;1;0,0;1,0;180 days 00:00:00.000000000
1616;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;228;18;0;0;0;0;0;0;0;0;0;0;1;4;0;31,0;11;2;0;2;0;0;1,0;74,4;27;31,0;31,0;28;8;21;7;5;14;2;1;2;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;4;3;0;0;0,7;4;0;1,0;3,075;1;1,375;1,75;180 days 00:00:00.000000000
1974;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;366;28;0;3;3;11;0;0;0;0;0;0;0;0;0;0,0;22;2;0;0;0;0;1,0;71,79;12;0,0;0,0;42;8;26;6;32;4;0;0;2;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;4;4;0;0;0,8;0;0;0,0;2,725;1;1,925;2,0;180 days 00:00:00.000000000
2076;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;113;18;0;3;4;11;0;0;0;0;0;0;20;3;0;0,0;9;1;0;1;0;0;1,0;60,61;15;0,0;0,0;27;12;19;15;3;9;0;1;1;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;3;0;0;0;0,3;6;0;1,5;4,55;0;2,75;0,75;180 days 00:00:00.000000000
2392;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;105;26;0;2;6;22;0;0;2;1;0;0;0;0;0;0,0;11;2;0;0;0;0;1,0;63,86;9;0,0;0,0;46;4;33;13;15;16;2;0;2;0;2,2;0,0;2,2;0,0;0,0;0,0;1,1;5;2;0;0;0,7;0;0;0,0;1,8;1;1,1;1,75;180 days 00:00:00.000000000
2460;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;138;5;0;0;0;7;0;0;0;2;0;0;10;1;0;0,0;19;3;0;1;0;0;2,0;67,59;65;0,0;0,0;68;26;44;16;35;17;0;1;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;5;4;0;0;0,9;4;0;1,0;4,65;0;2,75;2,25;180 days 00:00:00.000000000
2501;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;253;31;0;0;2;9;0;0;0;0;0;0;21;3;0;0,0;9;3;0;2;0;0;1,0;87,41;21;0,0;0,0;41;10;27;6;10;25;0;1;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;3;0;0;0,6;3;0;0,75;1,35;1;0,0;1,5;180 days 00:00:00.000000000
2517;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;16;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;8;1;7;2;3;3;0;0;0;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;0;0;0;0;0,0;0;0;0,0;1,375;1;1,375;0,0;180 days 00:00:00.000000000
2931;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;150;6;0;2;2;14;0;0;0;0;0;0;22;3;0;0,0;7;2;0;1;0;0;0,0;75,03;17;0,0;0,0;25;2;13;7;11;5;2;1;2;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;4;2;0;0;0,6;6;0;1,5;4,85;0;2,75;1,5;180 days 00:00:00.000000000
3183;Biologia;2014.1;4;Bioquímica I;43;2013-12-31 21:00:00;2014-06-29 21:00:00;30;6;0;0;0;7;0;0;0;0;0;0;22;3;0;0,0;8;2;0;1;0;0;0,0;69,76;6;0,0;0,0;19;9;12;7;4;7;1;1;2;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;4;0;0;0;0,4;1;0;0,25;3,4;1;2,75;1,0;180 days 00:00:00.000000000
