;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
241;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;3;6;0;1;1;32;0;0;0;1;0;0;11;1;0;15,33;14;4;0;11;0;1;3,0;82,54;38;15,33;15,33;94;25;42;11;4;76;3;3;4;0;3,3;0,0;3,3;4,95;0,0;4,95;4,125;3;3;4;5;1,5;0;6;1,5;7,125;0;4,125;3,75;182 days 00:00:00.000000000
385;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;253;43;0;11;14;30;0;0;0;2;0;0;15;2;0;4,0;24;5;0;4;0;1;3,0;77,58;35;4,0;4,0;84;20;49;11;40;33;0;2;5;0;0,0;5,5;5,5;0,0;1,1;1,1;3,3;5;3;3;0;1,1;0;0;0,0;4,4;0;3,3;2,75;182 days 00:00:00.000000000
963;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;146;6;0;0;2;48;0;0;1;3;0;0;9;1;0;3,0;54;5;0;5;0;2;6,0;71,96;50;3,0;3,0;181;49;113;24;75;82;0;3;5;0;1,65;0,0;1,65;4,4;0,0;4,4;3,025;3;3;4;5;1,5;0;3;0,75;5,275;0;3,0250000000000004;3,75;182 days 00:00:00.000000000
1321;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;244;20;0;0;3;29;0;0;0;2;0;0;11;3;0;7,67;37;4;0;4;0;2;3,0;75,3;26;7,67;7,67;95;24;53;28;28;37;2;3;4;0;4,95;0,0;4,95;4,4;0,0;4,4;4,675;3;5;4;5;1,7;0;6;1,5;7,875;0;4,675000000000001;4,25;182 days 00:00:00.000000000
1408;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;197;14;0;0;0;19;0;0;0;3;0;0;1;1;0;3,33;15;4;0;8;0;2;3,0;80,1;10;3,33;3,33;88;20;68;21;18;42;7;3;4;0;3,85;0,0;3,85;4,95;0,0;4,95;4,4;3;4;3;5;1,5;0;5;1,25;7,15;0;4,4;3,75;182 days 00:00:00.000000000
1475;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;345;5;0;11;13;55;0;0;0;2;0;0;9;1;0;3,0;25;3;0;3;0;2;6,0;37,9;55;3,0;3,0;166;4;89;59;63;40;4;3;3;0;0,0;0,0;0,0;4,4;0,0;4,4;2,2;0;3;3;5;1,1;0;3;0,75;4,05;0;2,2;2,75;182 days 00:00:00.000000000
1761;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;296;7;3;2;41;116;0;0;0;3;1;0;7;1;0;4,0;22;4;0;5;0;2;6,0;86,02;1;4,0;4,0;174;26;116;48;46;78;2;3;4;0;0,0;2,2;2,2;4,4;0,0;4,4;3,3;3;4;4;5;1,6;0;6;1,5;6,4;0;3,3000000000000003;4,0;182 days 00:00:00.000000000
2005;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;196;60;0;0;45;100;0;0;0;4;1;0;7;3;0;3,0;26;6;0;3;0;2;5,0;85,36;14;3,0;3,0;154;15;85;77;50;24;3;3;6;1;3,3;0,0;3,3;2,75;0,0;2,75;3,025;3;2;4;5;1,4;0;6;1,5;5,925;0;3,025;3,5;182 days 00:00:00.000000000
2090;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;160;54;0;0;9;45;0;0;0;1;0;0;16;2;0;4,67;20;4;0;3;0;2;4,0;77,0;68;4,67;4,67;110;10;74;37;42;31;0;3;4;0;3,3;0,0;3,3;3,85;0,0;3,85;3,575;3;3;3;5;1,4;0;5;1,25;6,225;0;3,575;3,5;182 days 00:00:00.000000000
2281;Biologia;2013.2;3;Embriologia ;26;2013-06-30 21:00:00;2013-12-29 21:00:00;110;40;0;0;4;18;0;0;0;2;2;0;20;3;0;1,33;10;2;0;6;0;2;2,0;108,54;12;1,33;1,33;72;9;45;23;23;26;0;3;2;0;3,3;0,0;3,3;2,2;0,0;2,2;2,75;3;3;0;0;0,6;0;5;1,25;4,6;0;2,75;1,5;182 days 00:00:00.000000000
