;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
42;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1245;6;1;0;1;19;0;0;0;0;0;0;21;3;0;0,11;3;1;0;1;0;0;5,769e-05;30,53;10;0,11;0,11;15;4;6;2;4;9;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;2;0;0,5;0,5;1;0,0;0,0;183 days 23:59:59.000000000
134;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
174;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1251;5;0;0;1;21;0;0;0;2;1;0;13;2;0;0,92;22;5;0;2;2;0;2,1538;67,11;26;0,92;0,92;56;22;35;4;21;31;0;2;5;0;3,85;0,0;3,85;4,95;0,0;4,95;4,4;4;4;3;3;1,4;6;5;2,75;8,55;0;4,4;3,5;183 days 23:59:59.000000000
198;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1381;7;0;0;16;38;0;0;19;7;4;0;11;1;0;4,35;95;24;1;6;4;0;6,4615;49,23;110;4,35;4,35;168;51;58;86;56;23;3;2;24;0;1,1;0,0;1,1;4,95;0,0;4,95;3,025;5;5;5;5;2,0;5;5;2,5;7,525;0;3,0250000000000004;5,0;183 days 23:59:59.000000000
368;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1290;36;0;0;3;33;0;0;1;3;0;0;0;0;0;0,0;8;4;0;0;2;0;3,3077;59,64;14;0,0;0,0;86;24;51;37;42;6;1;0;4;0;3,85;0,0;3,85;4,4;0,0;4,4;4,125;3;3;3;3;1,2;0;0;0,0;5,325;0;4,125;3,0;183 days 23:59:59.000000000
376;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1295;22;0;0;13;39;0;0;0;1;1;0;17;2;0;0,27;8;4;0;3;0;0;1,0385;53,37;10;0,27;0,27;27;6;20;5;9;13;0;1;4;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;3;3;3;3;1,2;0;0;0,0;3,4;1;2,2;3,0;183 days 23:59:59.000000000
424;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1377;3;4;1;27;30;0;0;0;2;0;0;13;2;0;8,36;15;4;0;2;1;0;4,5;61,55;104;8,36;8,36;117;24;42;15;43;57;2;2;4;0;1,65;0,0;1,65;2,2;0,0;2,2;1,925;4;4;3;3;1,4;3;5;2,0;5,325;0;1,925;3,5;183 days 23:59:59.000000000
475;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1305;1;0;1;7;17;0;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;3,85e-06;0,0;0;0,0;0,0;1;0;1;0;1;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
504;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1268;15;2;1;44;70;0;0;0;0;4;1;20;3;0;0,12;16;1;0;1;2;0;5,0385;33,25;99;0,12;0,12;131;19;57;33;44;50;4;1;1;0;4,4;0,0;4,4;4,4;0,0;4,4;4,4;0;0;0;0;0,0;0;6;1,5;5,9;0;4,4;0,0;183 days 23:59:59.000000000
545;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1248;31;0;0;4;27;0;0;3;1;1;0;10;1;0;1,3;17;7;0;2;8;0;5,6923;72,17;112;1,3;1,3;148;36;57;78;33;36;1;2;7;0;3,3;0,0;3,3;1,1;0,0;1,1;2,2;4;4;4;4;1,6;6;5;2,75;6,55;0;2,2;4,0;183 days 23:59:59.000000000
1173;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1393;4;0;0;4;21;0;0;0;0;0;1;10;1;0;1,79;12;3;0;2;3;0;3,1923;59,43;78;1,79;1,79;83;12;34;12;19;44;8;2;3;0;0,0;2,75;2,75;0,0;0,0;0,0;1,375;3;3;3;3;1,2;5;5;2,5;5,075;0;1,375;3,0;183 days 23:59:59.000000000
1333;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1281;48;0;2;32;45;0;0;5;5;2;4;19;3;0;3,19;31;5;0;8;3;0;6,1154;55,87;133;3,19;3,19;159;28;56;32;49;78;0;1;5;0;4,95;0,0;4,95;3,3;0,0;3,3;4,125;5;5;4;4;1,8;6;0;1,5;7,425;0;4,125;4,5;183 days 23:59:59.000000000
1440;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1358;19;2;1;23;54;0;1;7;7;0;1;20;3;0;3,15;13;14;0;1;3;0;3,0;42,18;68;3,15;3,15;78;20;46;18;21;39;0;1;14;0;3,3;0,0;3,3;1,65;0,0;1,65;2,475;5;5;5;5;2,0;5;0;1,25;5,725;0;2,4749999999999996;5,0;183 days 23:59:59.000000000
1464;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1407;3;0;0;1;14;0;1;2;1;1;0;16;2;0;0,32;15;5;0;1;0;0;2,3077;68,06;27;0,32;0,32;60;9;32;8;21;31;0;1;5;0;1,65;0,0;1,65;4,4;0,0;4,4;3,025;3;3;1;1;0,8;5;0;1,25;5,075;0;3,0250000000000004;2,0;183 days 23:59:59.000000000
1621;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1287;30;1;0;15;42;0;0;0;0;2;0;19;3;0;0,15;17;4;0;4;0;0;3,2692;67,91;72;0,15;0,15;85;22;39;7;43;35;0;2;4;0;3,85;0,0;3,85;4,4;0,0;4,4;4,125;4;4;4;4;1,6;3;6;2,25;7,975;0;4,125;4,0;183 days 23:59:59.000000000
1669;Biologia;2014.2;1;Citologia (1º);48;2014-06-30 21:00:00;2014-12-31 20:59:59;1398;31;1;1;12;29;0;0;1;1;0;0;20;3;0;11,13;9;4;0;0;0;0;2,8077;65,71;34;11,13;11,13;73;12;32;3;9;61;0;1;4;0;1,1;0,0;1,1;1,65;0,0;1,65;1,375;3;3;3;3;1,2;5;0;1,25;3,825;1;1,375;3,0;183 days 23:59:59.000000000
