;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
16433;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;9;2;1;0;24;73;0;0;0;0;1;0;0;1;2;0,0;61;5;0;0;0;0;5,0;97,01;30;0,0;0,0;134;0;83;14;55;59;6;0;5;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;181 days 23:59:59.000000000
17333;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;40;180;1;1;24;69;0;0;0;2;4;0;10;1;2;0,0;118;4;0;0;0;0;13,0;62,05;31;0,0;0,0;352;0;127;169;166;12;5;0;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;181 days 23:59:59.000000000
17794;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;41;8;0;0;0;20;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;12;0,0;0,0;15;0;11;2;2;9;2;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
18011;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
21521;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;31;19;0;0;5;61;0;0;0;0;0;0;19;3;1;0,0;47;4;0;0;0;0;3,0;99,31;29;0,0;0,0;90;0;67;40;30;20;0;0;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;181 days 23:59:59.000000000
21533;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
24913;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;18;15;0;0;1;52;0;0;1;0;0;0;12;2;2;0,0;59;4;0;0;0;0;2,0;93,39;39;0,0;0,0;66;0;40;7;19;38;2;0;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;181 days 23:59:59.000000000
26429;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;16;4;0;0;2;42;0;0;0;0;0;0;18;3;1;0,0;36;3;0;0;0;0;2,0;97,53;19;0,0;0,0;66;0;44;14;43;9;0;0;3;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;181 days 23:59:59.000000000
27523;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;39;7;2;0;7;54;0;0;0;0;0;0;19;3;2;0,0;22;4;0;0;0;0;2,0;101,21;35;0,0;0,0;56;0;37;8;29;18;1;0;4;0;0,0;3,3;3,3;5,5;0,0;5,5;4,4;0;0;0;0;0,0;0;0;0,0;4,4;0;4,4;0,0;181 days 23:59:59.000000000
28808;Biologia;2012.1;3;Introdução a Filosofia da Ciência;30;2011-12-31 21:00:00;2012-06-30 20:59:59;25;10;0;0;2;52;0;0;0;0;0;0;12;2;1;0,0;66;4;0;0;0;0;2,0;95,92;26;0,0;0,0;76;0;38;6;20;50;0;0;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;181 days 23:59:59.000000000
