;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
15555;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;935;11;0;0;0;2;0;0;0;0;0;0;14;2;0;29,5;6;3;0;0;0;1;2,0;64,91;12;29,5;29,5;68;22;46;10;46;10;2;2;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;6;0;1,5;5,475;0;2,475;3,75;181 days 23:59:59.000000000
15604;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;830;8;0;0;3;6;0;0;0;0;0;0;13;2;0;40,5;8;3;0;0;0;2;3,0;59,97;62;40,5;40,5;94;29;56;14;38;41;1;2;3;0;0,0;0,0;0,0;0,0;4,95;4,95;2,475;5;5;5;0;1,5;5;6;2,75;6,725;0;2,475;3,75;181 days 23:59:59.000000000
15747;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;925;28;0;1;1;0;0;0;0;0;0;0;15;2;0;0,0;7;3;0;0;0;2;2,0;73,12;41;0,0;0,0;58;13;27;18;15;25;0;2;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;5;4;2,25;6,225;0;2,475;3,75;181 days 23:59:59.000000000
15793;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;955;19;0;0;0;2;0;0;0;0;0;0;0;3;0;21,0;1;0;0;0;0;2;1,0;0,0;16;21,0;21,0;47;12;30;12;10;22;3;2;0;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;0;0;0;0;0,0;6;4;2,5;4,975;0;2,475;0,0;181 days 23:59:59.000000000
15805;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;997;4;0;0;36;54;0;0;0;0;4;0;15;2;0;43,0;11;3;0;0;0;2;4,0;73,45;52;43,0;43,0;112;17;65;48;29;35;0;2;3;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;4;0;1,4;6;6;3,0;6,875;0;2,475;3,5;181 days 23:59:59.000000000
15806;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;882;58;0;1;13;14;0;0;0;0;1;0;15;2;0;45,5;13;3;0;0;0;2;9,0;60,92;156;45,5;45,5;239;45;97;16;119;104;0;2;3;0;3,3;0,0;3,3;0,0;0,0;0,0;1,65;5;5;5;0;1,5;6;6;3,0;6,15;0;1,65;3,75;181 days 23:59:59.000000000
15906;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;939;9;0;0;0;2;0;0;0;0;0;0;17;2;0;43,5;13;3;0;0;2;2;5,0;70,5;85;43,5;43,5;137;32;76;44;63;29;1;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;4;5;5;0;1,4;6;5;2,75;6,9;0;2,75;3,5;181 days 23:59:59.000000000
15928;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;811;9;0;0;2;5;0;0;0;0;1;0;13;2;0;33,5;10;2;0;0;0;2;1,0;94,01;21;33,5;33,5;45;18;28;8;9;28;0;2;2;0;2,75;0,0;2,75;0,0;0,0;0,0;1,375;0;5;5;0;1,0;6;6;3,0;5,375;0;1,375;2,5;181 days 23:59:59.000000000
16306;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;903;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;1;0;1;0;1;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
16381;Pedagogia;2016.1;8;Ética e Cidadania;66;2015-12-31 21:00:00;2016-06-30 20:59:59;1018;7;0;0;2;11;0;0;0;0;1;0;21;3;0;9,5;7;3;0;0;0;2;2,0;82,18;24;9,5;9,5;59;13;39;16;13;28;2;2;3;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;3;5;5;0;1,3;5;6;2,75;6,8;0;2,75;3,25;181 days 23:59:59.000000000
