;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
21602;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;227;4;0;0;16;161;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;12;0,0;0,0;13;0;8;9;3;1;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 00:00:00.000000000
21844;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;128;4;0;0;1;17;0;0;0;0;0;0;23;3;0;0,0;1;0;0;0;0;0;0,0;0,0;4;0,0;0,0;7;0;4;1;3;3;0;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;3;0;0,75;0,75;1;0,0;0,0;180 days 00:00:00.000000000
22247;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;82;3;0;0;2;39;0;0;0;0;2;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;3;0,0;0,0;7;0;4;1;3;1;2;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 00:00:00.000000000
22363;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;187;5;2;0;142;335;0;0;3;4;5;0;21;3;0;0,5;53;4;0;0;0;0;7,0;109,99;17;0,5;0,5;205;0;109;33;96;74;2;2;4;0;6,6;0,0;6,6;0,0;0,0;0,0;3,3;0;3;5;5;1,3;3;6;2,25;6,85;0;3,3;3,25;180 days 00:00:00.000000000
22747;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;106;4;2;0;34;221;0;0;0;5;2;0;0;0;0;0,0;42;6;0;0;0;0;4,0;98,28;29;0,0;0,0;112;0;72;12;86;13;1;0;6;0;6,6;0,0;6,6;2,5;0,0;2,5;4,55;5;1;3;2;1,1;0;0;0,0;5,65;0;4,55;2,75;180 days 00:00:00.000000000
23870;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;28;70;0;0;34;207;0;0;0;2;4;0;19;3;0;0,0;19;4;0;0;0;0;5,0;103,58;133;0,0;0,0;148;0;98;19;92;37;0;2;4;0;6,6;0,0;6,6;0,55;0,0;0,55;3,575;3;1;3;1;0,8;6;5;2,75;7,125;0;3,5749999999999997;2,0;180 days 00:00:00.000000000
24210;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;150;3;0;0;3;90;0;0;0;1;1;0;0;0;0;0,0;3;1;0;0;0;0;0,0;41,16;0;0,0;0,0;11;0;7;1;10;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0,1;0;0;0,0;0,1;1;0,0;0,25;180 days 00:00:00.000000000
24717;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;59;4;7;0;49;216;0;0;1;3;3;0;10;1;0;13,0;63;6;1;0;0;0;9,0;102,32;52;13,0;13,0;255;0;111;95;81;76;3;2;6;0;5,5;0,0;5,5;1,65;0,0;1,65;3,575;1;3;3;4;1,1;3;4;1,75;6,425;0;3,575;2,75;180 days 00:00:00.000000000
24747;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;172;63;0;0;54;227;1;1;0;2;1;0;19;3;0;3,0;23;3;0;0;0;0;6,0;86,48;48;3,0;3,0;161;0;88;63;73;24;1;2;3;0;3,3;0,0;3,3;0,55;0,0;0,55;1,925;3;0;3;0;0,6;6;6;3,0;5,525;0;1,9249999999999998;1,5;180 days 00:00:00.000000000
24781;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;46;3;0;0;18;178;0;0;0;3;1;0;8;1;0;0,5;33;4;0;0;0;0;5,0;99,23;128;0,5;0,5;133;0;91;41;10;78;4;2;4;0;2,2;0,0;2,2;0,85;0,0;0,85;1,525;3;3;3;5;1,4;3;3;1,5;4,425;0;1,5250000000000001;3,5;180 days 00:00:00.000000000
25280;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;139;3;2;0;9;197;0;0;0;3;0;0;12;2;0;2,0;56;10;0;0;0;0;4,0;98,06;99;2,0;2,0;112;0;63;22;61;29;0;2;10;0;4,4;0,0;4,4;1,1;0,0;1,1;2,75;3;1;3;3;1,0;3;3;1,5;5,25;0;2,75;2,5;180 days 00:00:00.000000000
25283;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;179;2;0;0;17;216;0;0;0;1;3;0;19;3;0;1,0;19;1;0;0;0;0;3,0;48,08;19;1,0;1,0;94;0;66;29;29;36;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0,1;6;0;1,5;1,6;1;0,0;0,25;180 days 00:00:00.000000000
25809;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;231;9;0;0;2;213;0;0;0;0;1;0;0;0;0;0,0;21;3;0;0;0;0;1,0;91,01;9;0,0;0,0;30;0;23;15;9;6;0;0;3;0;0,0;0,0;0,0;0,0;0,5;0,5;0,25;0;1;0;0;0,1;0;0;0,0;0,35;1;0,25;0,25;180 days 00:00:00.000000000
26242;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;233;18;8;0;146;328;0;0;0;6;10;0;14;2;0;2,5;156;13;0;0;0;0;16,0;89,22;403;2,5;2,5;434;0;147;193;148;86;7;2;13;0;2,2;0,0;2,2;0,85;0,0;0,85;1,525;1;3;5;3;1,2;3;3;1,5;4,225;0;1,5250000000000001;3,0;180 days 00:00:00.000000000
26502;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;101;49;0;0;15;194;0;0;0;3;1;0;9;1;0;0,0;11;3;0;0;0;0;5,0;84,65;20;0,0;0,0;137;0;83;51;40;45;1;1;3;0;6,6;0,0;6,6;0,85;0,0;0,85;3,725;1;3;3;0;0,7;0;6;1,5;5,925;0;3,7249999999999996;1,75;180 days 00:00:00.000000000
26836;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;44;13;1;0;53;222;0;0;0;5;5;0;7;1;0;1,0;69;6;0;0;0;0;3,0;89,23;24;1,0;1,0;98;0;69;6;9;80;3;2;6;0;7,7;0,0;7,7;1,95;0,0;1,95;4,825;5;3;5;3;1,6;3;6;2,25;8,675;0;4,825;4,0;180 days 00:00:00.000000000
26841;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;191;35;0;0;1;186;0;0;0;3;0;0;10;1;0;1,0;22;3;0;0;0;0;3,0;87,04;29;1,0;1,0;83;0;63;61;15;7;0;2;3;0;0,0;0,0;0,0;1,4;0,0;1,4;0,7;3;1;3;0;0,7;4;5;2,25;3,65;1;0,7;1,75;180 days 00:00:00.000000000
27455;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;185;13;0;0;15;181;0;0;1;2;3;0;21;3;0;0,0;35;4;0;0;0;0;3,0;104,66;21;0,0;0,0;88;0;51;12;26;49;1;1;4;0;1,1;0,0;1,1;0,3;0,0;0,3;0,7;3;1;3;2;0,9;0;4;1,0;2,6;1;0,7000000000000001;2,25;180 days 00:00:00.000000000
28132;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;174;36;0;0;23;202;0;0;1;0;3;0;20;3;0;0,0;8;1;0;0;0;0;4,0;91,41;41;0,0;0,0;116;0;80;10;23;82;1;1;1;0;5,5;0,0;5,5;0,0;0,0;0,0;2,75;0;1;0;0;0,1;5;0;1,25;4,1;0;2,75;0,25;180 days 00:00:00.000000000
28180;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;250;61;2;0;108;217;0;0;3;8;7;0;11;1;0;0,5;68;9;0;0;0;0;5,0;87,77;45;0,5;0,5;144;0;96;83;43;16;2;2;9;0;7,7;0,0;7,7;2,75;0,0;2,75;5,225;2;5;3;5;1,5;3;4;1,75;8,475;0;5,225;3,75;180 days 00:00:00.000000000
28735;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;125;5;0;0;10;218;0;1;0;3;2;0;15;2;0;0,5;20;5;0;0;0;0;2,0;98,63;50;0,5;0,5;57;0;39;14;26;17;0;2;5;0;5,5;0,0;5,5;1,4;0,0;1,4;3,45;3;3;3;2;1,1;3;3;1,5;6,05;0;3,45;2,75;180 days 00:00:00.000000000
29036;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;94;4;0;0;5;160;0;0;0;2;2;0;23;3;0;0,0;43;5;0;0;0;0;3,0;104,63;8;0,0;0,0;85;0;68;23;41;21;0;2;5;0;8,8;0,0;8,8;1,4;0,0;1,4;5,1;3;3;1;3;1,0;3;2;1,25;7,35;0;5,1000000000000005;2,5;180 days 00:00:00.000000000
29270;Letras;2011.1;4;Literatura Brasileira;47;2010-12-31 21:00:00;2011-06-29 21:00:00;41;4;0;0;44;232;0;0;2;2;2;0;15;2;0;0,0;12;2;0;0;0;0;4,0;76,4;16;0,0;0,0;122;0;86;27;46;48;1;2;2;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;1;1;0;0;0,2;1;3;1,0;3,4;1;2,2;0,5;180 days 00:00:00.000000000
126;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;141;6;0;0;11;208;0;0;0;3;1;0;17;2;0;2,5;33;4;0;0;0;0;4,0;102,0;37;2,5;2,5;111;0;56;12;57;42;0;2;4;0;3,3;0,0;3,3;3,5;0,0;3,5;3,4;3;3;3;3;1,2;3;3;1,5;6,1;0;3,4;3,0;180 days 00:00:00.000000000
