;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
194;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1527;8;0;0;30;73;0;1;1;4;0;0;21;3;2;35,5;25;5;0;0;8;0;6,0;67,4;23;35,5;35,5;171;57;103;16;26;129;0;2;5;0;0,0;4,95;0,0;4,4;0,0;4,4;2,2;5;5;5;5;2,0;6;6;3,0;7,2;0;2,2;5,0;181 days 23:59:59.000000000
252;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1451;26;0;0;2;5;0;0;1;4;1;0;10;1;0;35,5;22;5;0;0;0;0;4,0;76,86;107;35,5;35,5;123;36;62;41;28;44;10;2;5;0;5,15;0,0;5,15;5,5;0,0;5,5;5,325;5;5;5;5;2,0;2;6;2,0;9,325;0;5,325;5,0;181 days 23:59:59.000000000
426;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1445;23;0;0;19;58;0;1;1;4;0;0;18;3;1;43,0;40;5;0;0;0;0;8,0;77,87;142;43,0;43,0;212;56;88;20;40;116;36;2;5;0;4,85;0,0;4,85;4,95;0,0;4,95;4,9;5;5;5;5;2,0;3;5;2,0;8,9;0;4,9;5,0;181 days 23:59:59.000000000
516;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1604;26;1;0;2;59;0;0;1;4;0;0;9;1;0;20,5;16;4;0;0;0;0;5,0;84,72;109;20,5;20,5;144;19;61;52;54;38;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;181 days 23:59:59.000000000
583;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1475;36;0;1;32;71;0;0;1;4;2;0;22;2;2;30,0;17;4;0;0;28;0;4,0;79,58;52;30,0;30,0;122;16;70;15;64;43;0;2;4;0;4,8;0,0;4,8;2,2;0,0;2,2;3,5;5;5;5;5;2,0;6;6;3,0;8,5;0;3,5;5,0;181 days 23:59:59.000000000
729;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1592;20;0;0;21;67;1;2;1;4;0;0;19;3;0;41,5;95;6;0;0;0;0;14,0;84,76;15;41,5;41,5;369;22;119;110;110;145;4;2;6;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;5;5;5;2,0;6;6;3,0;10,225;0;5,225;5,0;181 days 23:59:59.000000000
896;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1488;3;0;0;2;52;0;0;1;6;0;0;13;2;0;41,0;28;5;0;0;0;0;6,0;69,9;81;41,0;41,0;174;16;79;51;92;30;1;2;5;0;4,8;0,0;4,8;5,5;0,0;5,5;5,15;5;5;5;5;2,0;0;6;1,5;8,65;0;5,15;5,0;181 days 23:59:59.000000000
1075;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1600;4;0;0;0;36;0;0;1;1;0;0;17;2;0;9,0;5;1;0;0;0;0;0,0;68,54;4;9,0;9,0;17;7;15;4;10;3;0;1;1;0;1,1;0,0;1,1;0,0;0,0;0,0;0,55;0;5;0;0;0,5;1;0;0,25;1,3;1;0,55;1,25;181 days 23:59:59.000000000
1153;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1506;6;0;0;73;103;0;0;2;4;8;0;9;1;2;16,5;13;4;0;0;0;0;7,0;82,85;53;16,5;16,5;184;25;80;39;63;77;5;2;4;0;0,0;5,5;0,0;4,4;0,0;4,4;2,2;5;5;5;5;2,0;6;6;3,0;7,2;0;2,2;5,0;181 days 23:59:59.000000000
1650;Letras;2016.1;4;Didática Geral;47;2015-12-31 21:00:00;2016-06-30 20:59:59;1974;5;0;0;4;26;0;0;0;0;1;0;18;3;0;18,0;0;0;0;0;0;0;0,0;0,0;5;18,0;18,0;19;6;15;6;2;10;1;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
